date,value
bdegh-logACC,0.6465733883602737
bdegh-gbtACC,0.661392420421109
bdegh-logROC,0.6998685432561246
bdegh-gbtROC,0.7174629563899229
bdeghi-logACC,0.6464422885857312
bdeghi-gbtACC,0.6644088234170201
bdeghi-logROC,0.700393503214819
bdeghi-gbtROC,0.7226537069082839
bdefi-logACC,0.6000178646490122
bdefi-gbtACC,0.6092413542741412
bdefi-logROC,0.6367108536420462
bdefi-gbtROC,0.6514467211404579
bdefh-logACC,0.6449997516145057
bdefh-gbtACC,0.6538732469716078
bdefh-logROC,0.699404349872887
bdefh-gbtROC,0.71140223310333
bdefhi-logACC,0.6459613760556383
bdefhi-gbtACC,0.6622665271886584
bdefhi-logROC,0.6999083987496661
bdefhi-gbtROC,0.7172737601705427
bdefg-logACC,0.6035147216171806
bdefg-gbtACC,0.6143563854178608
bdefg-logROC,0.6361859138465332
bdefg-gbtROC,0.6566963522501231
bdefgi-logACC,0.6060065344491574
bdefgi-gbtACC,0.618203341740227
bdefgi-logROC,0.6376731114129758
bdefgi-gbtROC,0.6655307189592634
bdefgh-logACC,0.6477974129695441
bdefgh-gbtACC,0.658507270052352
bdefgh-logROC,0.6998132658437424
bdefgh-gbtROC,0.7156410082882162
bdefghi-logACC,0.647229097405327
bdefghi-gbtACC,0.6637092552256486
bdefghi-logROC,0.7004074917937221
bdefghi-gbtROC,0.7209280021074296
bcghi-logACC,0.6372621804425083
bcghi-gbtACC,0.6393172264893576
bcghi-logROC,0.6663357823950181
bcghi-gbtROC,0.6821802974325673
bcfhi-logACC,0.6406718732087585
bcfhi-gbtACC,0.6522125797699568
bcfhi-logROC,0.6901344260839134
bcfhi-gbtROC,0.7043049549815592
bcfgi-logACC,0.5944656941419236
bcfgi-gbtACC,0.614006754174787
bcfgi-logROC,0.6267943849656834
bcfgi-gbtROC,0.655022345830102
bcfgh-logACC,0.6401036627307118
bcfgh-gbtACC,0.6470542722305017
bcfgh-logROC,0.6915702599582904
bcfgh-gbtROC,0.7010268474910857
bcfghi-logACC,0.6402784687989606
bcfghi-gbtACC,0.6554037506209638
bcfghi-logROC,0.6897380487052873
bcfghi-gbtROC,0.7082783799156038
bcehi-logACC,0.6390105850433719
bcehi-gbtACC,0.6546172475065918
bcehi-logROC,0.6929142187422723
bcehi-gbtROC,0.710981689600324
bcegi-logACC,0.6031216038060301
bcegi-gbtACC,0.6189468263976461
bcegi-logROC,0.6365336434652058
bcegi-gbtROC,0.6676686492908719
bcegh-logACC,0.6411960716878751
bcegh-gbtACC,0.6519068649929306
bcegh-logROC,0.6940835956710817
bcegh-gbtROC,0.7080538191880381
bceghi-logACC,0.640627966295999
bceghi-gbtACC,0.6574585482823188
bceghi-logROC,0.692705230965299
bceghi-gbtROC,0.7138132980771023
bcefi-logACC,0.5960396939126447
bcefi-gbtACC,0.614400559822691
bcefi-logROC,0.6373449260647571
bcefi-gbtROC,0.6572233994071561
bcefh-logACC,0.6397099144025373
bcefh-gbtACC,0.6453496885628034
